큐딜리온 퍼블리싱리스트,,,,,,,,,,
,,,,,,,,,,
No,Dep1,Dep2,Dep3,Dep4,폴더경로,파일이름,진행상태,시작일,종료일,진척률
1,로그인,,,,,login.html,완료,2018-04-02,2018-05-10,100%
2,로그인,로그인 팝업,,,,login_popup.html,완료,2018-04-02,2018-05-10,100%
3,메인,개인정보수정 팝업,,,,gnb_popup.html,완료,2018-04-02,2018-04-02,100%
4,콘텐츠,스플래시,리스트,,,contents_splash01.php,완료,2018-04-02,2018-05-10,100%
5,콘텐츠,스플래시,스플래시 영역 미리보기 팝업,,,contents_splash01_popup.html,완료,2018-04-04,2018-05-10,100%
6,콘텐츠,스플래시,등록,,,contents_splash02.php,완료,2018-04-04,2018-05-10,100%
7,콘텐츠,스플래시,상세,,,contents_splash03.php,완료,2018-04-04,2018-05-10,100%
8,콘텐츠,로그인 서비스 소개,리스트,,,contents_login01.php,완료,2018-04-09,2018-05-10,100%
9,콘텐츠,로그인 서비스 소개,로그인서비스 소개 영역 미리보기 팝업,,,contents_login01_popup.html,완료,2018-04-09,2018-05-10,100%
10,콘텐츠,로그인 서비스 소개,등록,,,contents_login02.php,완료,2018-04-09,2018-05-10,100%
11,콘텐츠,로그인 서비스 소개,상세,,,contents_login03.php,완료,2018-04-09,2018-05-10,100%
12,콘텐츠,안전결제 이용안내,리스트,,,contents_payment01.php,완료,2018-04-09,2018-05-10,100%
13,콘텐츠,안전결제 이용안내,안전결제 이용안내 영역 미리보기 팝업,,,contents_payment01_popup.html,완료,2018-04-09,2018-05-10,100%
14,콘텐츠,안전결제 이용안내,등록,,,contents_payment02.php,완료,2018-04-09,2018-05-10,100%
15,콘텐츠,안전결제 이용안내,상세,,,contents_payment03.php,완료,2018-04-09,2018-05-10,100%
16,상품,상품 통합관리,리스트,,,product_list.php,완료,2018-04-18,2018-05-10,100%
17,상품,상품 통합관리,첨부이미지 모아보기 팝업,,,img_popup.html,완료,2018-04-18,2018-04-18,100%
18,상품,상품 통합관리,상품 상세정보,,,product_popup.html,완료,2018-04-17,2018-05-10,100%
19,상품,상품 통합관리,상품숨김 팝업,,,product_hide_popup.html,완료,2018-04-17,2018-05-10,100%
20,상품,상품 통합관리,상품숨김 사유확인 팝업,,,product_hide02_popup.html,완료,2018-04-17,2018-05-10,100%
21,상품,상품 통합관리,용달서비스 이용 팝업,,, - , - , - , - ,
22,상품,상품 통합관리,상품댓글 팝업,,,product_comment_popup.html,완료,2018-04-17,2018-05-10,100%
23,상품,상품 통합관리,상품후기 팝업,,,product_review_popup.html,완료,2018-04-17,2018-05-10,100%
24,상품,상품 통합관리,관리자 수정이력 팝업,,,product_manager_popup.html,완료,2018-04-17,2018-05-10,100%
25,회원/스토어,회원/스토어 통합관리,리스트,,,member_list.php,완료,2018-04-17,2018-05-10,100%
26,회원/스토어,회원/스토어 통합관리,회원/스토어 상세정보,통합정보 영역,,member_popup.html,완료,2018-04-17,2018-05-10,100%
27,회원/스토어,회원/스토어 통합관리,회원/스토어 상세정보,거래내역 영역,,member_popup.html,완료,2018-04-17,2018-05-10,100%
28,회원/스토어,회원/스토어 통합관리,회원/스토어 상세정보,스토어 정보/후기 영역,,member_popup.html,완료,2018-04-17,2018-05-10,100%
29,회원/스토어,회원/스토어 통합관리,회원/스토어 상세정보,1:1문의/신고 영역,,member_popup.html,완료,2018-04-18,2018-05-10,100%
30,회원/스토어,회원/스토어 통합관리,회원/스토어 상세정보,광고/수익 영역,, - , - , - , - ,
31,거래/결제/배송,거래 통합관리,리스트,,,deal01_list.php,완료,2018-04-18,2018-05-10,100%
32,거래/결제/배송,거래 통합관리,통합거래내역 상세정보,,,deal_popup.html,완료,2018-04-18,2018-05-10,100%
33,거래/결제/배송,거래 통합관리,통합거래내역 상세정보,이전거래내역 팝업,,deal_prev_popup.html,완료,2018-04-18,2018-05-10,100%
34,거래/결제/배송,안전결제 관리,안전결제 관리 리스트,,,deal02_list.php,완료,2018-04-18,2018-05-10,100%
35,거래/결제/배송,안전결제 관리,거래내역 요약 항목 가이드 팝업,,,deal02_guide_popup.html,완료,2018-04-23,2018-05-10,100%
36,거래/결제/배송,안전결제 관리,리스트 항목 가이드 팝업,,,deal02_guide02_popup.html,완료,2018-04-23,2018-05-10,100%
37,거래/결제/배송,안전결제 관리,안전결제 거래내역 상세정보,,,deal02_popup.html,완료,2018-04-23,2018-05-10,100%
38,거래/결제/배송,안전결제 관리,안전결제 거래내역 상세정보,이전거래내역 팝업,,deal02_prev_popup.html,완료,2018-04-23,2018-05-10,100%
39,거래/결제/배송,안전결제 관리,안전결제 거래내역 상세정보,부정거래이력 팝업,,deal_illegal_popup.html,완료,2018-04-23,2018-05-10,100%
40,거래/결제/배송,안전결제 관리,안전결제 정산내역 리스트,,,deal03_list.php,완료,2018-04-24,2018-05-10,100%
41,거래/결제/배송,안전결제 관리,거래내역 요약 항목 가이드 팝업,,,deal03_guide_popup.html ,완료,2018-04-24,2018-05-10,100%
42,거래/결제/배송,안전결제 관리,안전결제 정산내역 상세 통계보기,,,deal03_popup.html,완료,2018-04-24,2018-05-10,100%
43,거래/결제/배송,즉시송금관리,리스트,,,deal04_list.php,완료,2018-04-24,2018-05-10,100%
44,거래/결제/배송,즉시송금관리,즉시송금 거래내역 상세정보팝업,,,deal04_popup.html,완료,2018-04-24,2018-05-10,100%
45,거래/결제/배송,즉시송금관리,즉시송금 거래내역 상세 통계보기,,,deal04_popup02.html,완료,2018-04-24,2018-05-10,100%
46,거래/결제/배송,편의점 택배관리,편의점 택배 리스트,,,deal05_list.php,완료,2018-04-24,2018-05-10,100%
47,거래/결제/배송,편의점 택배관리,택배서비스 이용 상세정보 ,,,deal05_popup.html,완료,2018-04-24,2018-05-10,100%
48,거래/결제/배송,편의점 택배관리,편의점 택배 배송정보 상세조회,,,deal05_popup02.html,완료,2018-04-24,2018-05-10,100%
49,거래/결제/배송,편의점 택배관리,편의점 택배 안내 콘텐츠 리스트,,,deal06_list.php,완료,2018-04-24,2018-05-10,100%
50,거래/결제/배송,편의점 택배관리,편의점 택배 안내 콘텐츠 등록,,,deal06_popup.html,완료,2018-04-24,2018-05-10,100%
51,메인관리,팝업설정,리스트,,,mainsup01_list.php,완료,2018-04-24,2018-05-11,100%
52,메인관리,팝업설정,팝업 등록,,,mainsup01_reg.php,완료,2018-04-24,2018-05-11,100%
53,메인관리,팝업설정,팝업 상세,,,mainsup01_det.php,완료,2018-04-25,2018-05-11,100%
54,메인관리,메인 프로모션 배너관리,리스트,(테마 설정조건 보기 마우스오버 포함),,mainsup02_list.php,완료,2018-04-25,2018-05-11,100%
55,메인관리,메인 프로모션 배너관리,메인 프로모션 배너등록(이미지),,,mainsup02_reg.php,완료,2018-04-25,2018-05-11,100%
56,메인관리,메인 프로모션 배너관리,메인 프로모션 배너상세(이미지),,,mainsup02_det.php,완료,2018-04-25,2018-05-11,100%
57,메인관리,메인 프로모션 배너관리,메인 프로모션 배너등록(테마),,,mainsup02-2_reg.php,완료,2018-04-25,2018-05-11,100%
58,메인관리,메인 프로모션 배너관리,메인 프로모션 배너등록(테마),조건 설정 가이드 팝업,,mainsup02-2_reg_popup01.html,완료,2018-04-27,2018-05-11,100%
59,메인관리,메인 프로모션 배너관리,메인 프로모션 배너상세(테마),,,mainsup02-2_det.php,완료,2018-04-27,2018-05-11,100%
60,메인관리,메인 프로모션 배너관리,카테고리 옵션 설정 팝업,,,mainsup02-2_popup.html,완료,2018-04-26,2018-05-11,100%
61,메인관리,메인 프로모션 배너관리,소속상품보기,,,mainsup_product_popup.html,완료,2018-04-26,2018-05-11,100%
62,메인관리,메인 버티컬서비스 배너관리,리스트,,,mainsup03_list.php,완료,2018-04-26,2018-05-11,100%
63,메인관리,메인 버티컬서비스 배너관리,등록,,,mainsup03_reg.php,완료,2018-04-26,2018-05-11,100%
64,메인관리,메인 버티컬서비스 배너관리,상세,,,mainsup03_det.php,완료,2018-04-26,2018-05-11,100%
65,서비스,등급정보/기준 관리,,,,service01.php,완료,2018-04-27,2018-05-11,100%
66,서비스,스토어랭킹 관리,리스트,,,service02_list.php,완료,2018-04-27,2018-05-11,100%
67,서비스,스토어랭킹 관리,스토어랭킹 기준관리,,,service02.php,완료,2018-04-27,2018-05-11,100%
68,서비스,앱 카테고리 관리,1depth,,,service03_01.php,완료,2018-04-27,2018-05-11,100%
69,서비스,앱 카테고리 관리,2depth,,,service03_02.php ,완료,2018-04-27,2018-05-11,100%
70,서비스,앱 카테고리 관리,3depth,,,service03_03.php,완료,2018-04-27,2018-05-11,100%
71,서비스,앱 카테고리 관리,카테고리 옵션 설정 팝업,,,service03_popup.html,완료,2018-04-27,2018-05-11,100%
72,서비스,랜드마크 관리,등록된 랜드마크 관리 리스트,,,service04_list.php,완료,2018-04-27,2018-05-11,100%
73,서비스,랜드마크 관리,랜드마크 등록요청 리스트,,,service05_list.php,완료,2018-04-27,2018-05-11,100%
74,서비스,우리동네 관리,리스트,,,service06_list.php,완료,2018-04-27,2018-05-11,100%
75,서비스,마이태그 키워드,리스트,,,service07_list.php,완료,2018-04-27,2018-05-11,100%
76,서비스,마이태그 카테고리,리스트,,,service08_list.php,완료,2018-04-27,2018-05-11,100%
77,서비스,키워드 그롭 관리,리스트,,,service09_list.php,완료,2018-04-27,2018-05-11,100%
78,서비스,포인트 통합 관리,리스트,,,service10_list.php,완료,2018-04-27,2018-05-11,100%
79,"회원스토어 (잔여작업,탈퇴회원관리)",탈퇴회원 관리,리스트,,,member_list02.php,완료,2018-04-28,2018-05-10,100%
80,"회원스토어 (잔여작업,탈퇴회원관리)",탈퇴회원 상세정보,통합정보 영역,,,member_popup02.html,완료,2018-04-28,2018-05-10,100%
81,"회원스토어 (잔여작업,탈퇴회원관리)",탈퇴회원 상세정보,거래내역 영역,,,member_popup02.html,완료,2018-04-28,2018-05-10,100%
82,"회원스토어 (잔여작업,탈퇴회원관리)",탈퇴회원 상세정보,1:1문의/신고 영역,,,member_popup02.html,완료,2018-04-28,2018-05-10,100%
83,"회원스토어 (잔여작업,탈퇴회원관리)",회원/스토어 통합관리,닉네임/이름변경이력 팝업,,,member_name_popup.html,완료,2018-04-28,2018-05-10,100%
84,"회원스토어 (잔여작업,탈퇴회원관리)",회원/스토어 통합관리,휴대폰번호 변경이력 팝업,,,member_tel_popup.html,완료,2018-04-28,2018-05-10,100%
85,"회원스토어 (잔여작업,탈퇴회원관리)",회원/스토어 통합관리,경고이력 팝업,,,member_war_popup.html,완료,2018-04-28,2018-05-10,100%
86,"회원스토어 (잔여작업,탈퇴회원관리)",회원/스토어 통합관리,사유입력 팝업,,,member_rs_popup.html,완료,2018-04-28,2018-05-10,100%
87,"회원스토어 (잔여작업,탈퇴회원관리)",회원/스토어 통합관리,최근 수정 관리자 팝업,,,member_manager_popup.html,완료,2018-04-28,2018-05-10,100%
